status_id,status_message,link_name,status_type,status_link,permalink_url,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
186848211735810_276369939450303,Guys INCIDENT is comming .... Check out how the music video is being prepared and take a closer look in the this BEHIND THE SCENES of INCIDENT OFFICIAL VIDEO .....,Behind The Scenes (Upcomming INCIDENT video song )#howto#NITKawesomness...,video,https://www.youtube.com/watch?v=dH7rxkyoM8Q,https://www.facebook.com/ifyouareinnitk/posts/276369939450303,2017-02-16 15:30:48,20,0,0,20,0,0,0,0,0
186848211735810_275250139562283,All hail mid semester 😂😂...!!!!,Timeline Photos,photo,https://www.facebook.com/ifyouareinnitk/photos/a.186851201735511.1073741825.186848211735810/275250139562283/?type=3,https://www.facebook.com/ifyouareinnitk/posts/275250139562283:0,2017-02-14 10:49:57,116,0,2,60,0,2,53,1,0
186848211735810_275239679563329,😂,Timeline Photos,photo,https://www.facebook.com/ifyouareinnitk/photos/a.186851201735511.1073741825.186848211735810/275239679563329/?type=3,https://www.facebook.com/ifyouareinnitk/posts/275239679563329:0,2017-02-14 10:16:26,19,0,0,12,0,0,6,0,1
186848211735810_273276509759646,Assignments be like ...... !!!,Timeline Photos,photo,https://www.facebook.com/ifyouareinnitk/photos/a.186851201735511.1073741825.186848211735810/273276509759646/?type=3,https://www.facebook.com/ifyouareinnitk/posts/273276509759646:0,2017-02-10 15:31:50,43,1,0,25,0,0,18,0,0
186848211735810_272348579852439,CO110 be like 😂,Timeline Photos,photo,https://www.facebook.com/ifyouareinnitk/photos/a.186851201735511.1073741825.186848211735810/272348579852439/?type=3,https://www.facebook.com/ifyouareinnitk/posts/272348579852439:0,2017-02-08 13:41:45,46,1,1,30,0,0,16,0,0
186848211735810_272097466544217,NITK-NET and NITK-IRIS 😂,Timeline Photos,photo,https://www.facebook.com/ifyouareinnitk/photos/a.186851201735511.1073741825.186848211735810/272097466544217/?type=3,https://www.facebook.com/ifyouareinnitk/posts/272097466544217:0,2017-02-08 01:21:13,52,1,1,31,1,0,20,0,0
186848211735810_265878203832810,Hungry??😂,Timeline Photos,photo,https://www.facebook.com/ifyouareinnitk/photos/a.186851201735511.1073741825.186848211735810/265878203832810/?type=3,https://www.facebook.com/ifyouareinnitk/posts/265878203832810:0,2017-01-26 13:03:03,107,4,2,65,1,0,41,0,0
186848211735810_264788133941817,😂😂 ...!!!,Timeline Photos,photo,https://www.facebook.com/ifyouareinnitk/photos/a.186851201735511.1073741825.186848211735810/264788133941817/?type=3,https://www.facebook.com/ifyouareinnitk/posts/264788133941817:0,2017-01-24 10:25:58,65,2,0,34,0,0,31,0,0
186848211735810_264577907296173,Totally exhausted :( ...!!!,Timeline Photos,photo,https://www.facebook.com/ifyouareinnitk/photos/a.186851201735511.1073741825.186848211735810/264577907296173/?type=3,https://www.facebook.com/ifyouareinnitk/posts/264577907296173:0,2017-01-24 01:25:26,80,4,0,54,0,0,22,4,0
186848211735810_264574923963138,"Guys... Welcome back ...!!!
Bharat Darshan is coming....:)",Timeline Photos,photo,https://www.facebook.com/ifyouareinnitk/photos/a.186851201735511.1073741825.186848211735810/264574923963138/?type=3,https://www.facebook.com/ifyouareinnitk/posts/264574923963138:0,2017-01-24 01:14:37,11,0,0,8,1,0,2,0,0
